2025-07-25 01:22:03,402  INFO     [etl.mapping:95]  ⚙️  Loaded mapping settings: MappingSettings(default_schema='GNG', default_dataset_pattern='Underlag_{authority}', default_fc_pattern='{authority}_{source_name}', validate_datasets=True, create_missing_datasets=True, skip_unmappable_sources=False)
2025-07-25 01:22:03,402  INFO     [etl.mapping:117]  ✅ Loaded 1 mappings from config\mappings.yaml
2025-07-25 01:22:03,403  INFO     [etl.mapping:64]  🗺️  Mapping manager initialized with 1 mappings
2025-07-25 01:22:03,403  INFO     [etl.monitoring:137]  📊 Metrics collector initialized (max_points=10000)
2025-07-25 01:22:03,406  INFO     [etl.monitoring:449]  🔍 Pipeline monitor initialized
2025-07-25 01:22:03,406  INFO     [etl.utils.performance:367]  ⚡ Parallel processor initialized: max_workers=2
2025-07-25 01:22:03,407  INFO     [etl.monitoring:465]  🚀 Started pipeline run: pipeline_1753399323
2025-07-25 01:22:03,407  INFO     [pipeline:623]  🚀 Starting ETL pipeline run - ID: pipeline_1753399323, Sources: config\sources.yaml
2025-07-25 01:22:03,409  INFO     [etl.utils.cleanup:35]  📁 Downloads folder is already empty
2025-07-25 01:22:03,410  INFO     [etl.utils.cleanup:77]  📁 Staging folder is already empty
2025-07-25 01:22:03,450  INFO     [etl.models:127]  ✅ Loaded 53 sources from config\sources.yaml
2025-07-25 01:22:03,451  INFO     [pipeline:623]  📋 Found sources to process: 53
2025-07-25 01:22:03,451  INFO     [pipeline:623]  🚀 Concurrent downloads enabled: REST=5, OGC=3, Files=4 workers
2025-07-25 01:22:03,451  INFO     [pipeline:623]  🚚 Försvarsmakten - Rikstäckande geodata
2025-07-25 01:22:03,452  INFO     [etl.handlers.file:162]  🔗 Single resource download mode for 'Försvarsmakten - Rikstäckande geodata' from URL: https://www.forsvarsmakten.se/siteassets/2-om-forsvarsmakten/samhallsplanering/geodata/rikstackande-geodata-forsvarsmakten.zip
2025-07-25 01:22:03,591  WARNING  [etl.utils.http:100]      HEAD request for Content-Disposition failed for https://www.forsvarsmakten.se/siteassets/2-om-forsvarsmakten/samhallsplanering/geodata/rikstackande-geodata-forsvarsmakten.zip: HTTP Error 403: Forbidden. Will fall back to URL basename.
